>PDB:1W2F_A mol:protein-het length:276     Inositol-Trisphosphate 3-Kinase A
>PDB:1XRI_A mol:protein-het length:151     At1G05000
>PDB:1XS9_A mol:protein length:132     Multiple Antibiotic Resistance Protein Mara
>PDB:1XSI_A mol:protein length:778     Putative Family 31 Glucosidase Yici
>PDB:1XSR_A mol:protein-het length:168     Ureidoglycolate Hydrolase
>PDB:1UNF_X mol:protein length:238     Iron Superoxide Dismutase
>PDB:1W0N_A mol:protein length:131     Endo-1,4-Beta-Xylanase D
>PDB:1W6U_A mol:protein length:302     2,4-Dienoyl-Coa Reductase, Mitochondrial Pre
>PDB:1W7W_A mol:protein length:182     Nucleoside Diphosphate Kinase
>PDB:1W80_A mol:protein length:250     Adapter-Related Protein Complex 2 Alpha 2 Su
>PDB:1W80_P mol:protein length:12     Synaptojanin 1
>PDB:1W80_Q mol:protein length:12     Synaptojanin 1
>PDB:1W8A_A mol:protein length:192     Slit Protein
>PDB:1R6Y_A mol:protein length:115     Protein Ygin
>PDB:1R7K_A mol:protein length:133     Probable Dihydroneopterin Aldolase
>PDB:1RW1_A mol:protein-het length:114     Conserved Hypothetical Protein Yffb
>PDB:1SNT_A mol:protein length:382     Sialidase 2
>PDB:1T3W_A mol:protein-het length:148     DNA Primase
>PDB:1T9H_A mol:protein length:307     Probable Gtpase Engc
>PDB:1TD3_A mol:protein length:115     Head Decoration Protein
>PDB:1TG7_A mol:protein length:971     Beta-Galactosidase
>PDB:1TN6_C mol:protein length:11     Peptide Derived From The C-Terminus Of Rap2A
>PDB:1U1V_A mol:protein-het length:298     Phenazine Biosynthesis Protein Phzf
>PDB:1U6P_A mol:protein length:56     Gag Polyprotein
>PDB:1ULQ_A mol:protein length:401     Putative Acetyl-Coa Acetyltransferase
>PDB:1UMK_A mol:protein length:275     Nadh-Cytochrome B5 Reductase
>PDB:1VE6_A mol:protein length:582     Acylamino-Acid-Releasing Enzyme
>PDB:1VGS_A mol:protein-het length:250     Peroxiredoxin
>PDB:1VPA_A mol:protein length:234     2-C-Methyl-D-Erythritol 4-Phosphate Cytidyly
>PDB:1WLG_A mol:protein length:299     Flagellar Hook Protein Flge
>PDB:1WP1_A mol:protein length:474     Outer Membrane Protein Oprm
>PDB:1XBA_A mol:protein length:291     Tyrosine-Protein Kinase Syk
>PDB:1XD4_A mol:protein length:852     Son Of Sevenless Protein Homolog 1
>PDB:1XG8_A mol:protein length:111     Hypothetical Protein Sa0798
>PDB:1XHD_A mol:protein-het length:173     Putative Acetyltransferase/Acyltransfera
>PDB:1XI4_A mol:protein length:1630     Clathrin Heavy Chain
>PDB:1XI4_J mol:protein length:70     Clathrin Light Chain A
>PDB:1XKU_A mol:protein length:330     Decorin
>PDB:1XPL_A mol:protein-het length:396     3-Hydroxy-3-Methylglutaryl Coa Synthase
>PDB:1XR0_A mol:protein length:22     Basic Fibroblast Growth Factor Receptor 1
>PDB:1XR0_B mol:protein length:129     Fgfr Signalling Adaptor Snt-1
>PDB:1XS0_A mol:protein length:136     Inhibitor Of Vertebrate Lysozyme
>PDB:1XSZ_A mol:protein length:356     Guanine Nucleotide Exchange Protein
>PDB:1XTN_A mol:protein length:120     Serine/Threonine-Protein Kinase Sgk3
>PDB:1XU7_A mol:protein length:286     Corticosteroid 11-Beta-Dehydrogenase, Isozym
>PDB:1XUU_A mol:protein length:349     Polysialic Acid Capsule Biosynthesis Protein
>PDB:1W36_B mol:protein length:1180     Exodeoxyribonuclease V Beta Chain
>PDB:1W36_C mol:protein length:1122     Exodeoxyribonuclease V Gamma Chain
>PDB:1W36_D mol:protein length:608     Exodeoxyribonuclease V Alpha Chain
>PDB:1W44_A mol:protein length:331     Ntpase P4
>PDB:1W6J_A mol:protein length:732     Lanosterol Synthase
>PDB:1W85_A mol:protein length:368     Pyruvate Dehydrogenase E1 Component, Alpha S
>PDB:1W9P_A mol:protein length:433     Chitinase
>PDB:1W9S_A mol:protein length:142     Bh0236 Protein
>PDB:1Q9H_A mol:protein-het length:437     Cellobiohydrolase I Catalytic Domain
>PDB:1S5J_A mol:protein length:847     DNA Polymerase I
>PDB:1SS6_A mol:protein length:102     Nsfl1 Cofactor P47
>PDB:1T0F_A mol:protein length:276     Transposon Tn7 Transposition Protein Tnsa
>PDB:1T0F_C mol:protein length:54     Transposon Tn7 Transposition Protein Tnsc
>PDB:1TVG_A mol:protein length:153     Loc51668 Protein
>PDB:1U24_A mol:protein-het length:337     Myo-Inositol Hexaphosphate Phosphohydrol
>PDB:1U7H_A mol:protein-het length:350     Ornithine Cyclodeaminase
>PDB:1V30_A mol:protein length:124     Hypothetical Upf0131 Protein pH0828
>PDB:1VPB_A mol:protein length:451     Putative Modulator Of DNA Gyrase
>PDB:1XDK_B mol:protein length:303     Retinoic Acid Receptor, Beta
>PDB:1XIZ_A mol:protein length:159     Putative Phosphotransferase System Mannitol/
>PDB:1XJC_A mol:protein-het length:169     Mobb Protein Homolog
>PDB:1XMI_A mol:protein length:291     Cystic Fibrosis Transmembrane Conductance Re
>PDB:1XNV_A mol:protein length:530     Propionyl-Coa Carboxylase Complex B Subunit
>PDB:1XP4_A mol:protein-het length:379     D-Alanyl-D-Alanine Carboxypeptidase
>PDB:1XQ4_A mol:protein-het length:139     Protein Apag
>PDB:1XQZ_A mol:protein length:300     Proto-Oncogene Serine/Threonine-Protein Kina
>PDB:1XRS_A mol:protein length:516     D-Lysine 5,6-Aminomutase Alpha Subunit
>PDB:1XRS_B mol:protein length:262     D-Lysine 5,6-Aminomutase Beta Subunit
>PDB:1XTO_A mol:protein-het length:311     Coenzyme Pqq Synthesis Protein B
>PDB:1XTP_A mol:protein-het length:254     Lmaj004091Aaa
>PDB:1XU2_R mol:protein length:47     Tumor Necrosis Factor Receptor Superfamily Me
>PDB:1XUT_A mol:protein length:46     Tumor Necrosis Factor Receptor Superfamily Me
>PDB:1XV1_A mol:protein length:298     Sulfotransferase
>PDB:1XW8_A mol:protein-het length:252     Upf0271 Protein Ybgl
