>PDB:1EVY_A mol:protein length:366     Glycerol-3-Phosphate Dehydrogenase
>PDB:1F38_A mol:protein-het length:192     Precorrin-8W Decarboxylase
>PDB:1F4L_A mol:protein length:551     Methionyl-tRNA Synthetase
>PDB:1F47_A mol:protein length:17     Cell Division Protein Ftsz
>PDB:1F48_A mol:protein length:589     Arsenite-Translocating Atpase
>PDB:1F4J_A mol:protein length:527     Catalase
>PDB:1F4T_A mol:protein length:368     Cytochrome P450 119
>PDB:1F45_A mol:protein length:306     Interleukin-12 Beta Chain
>PDB:1F45_B mol:protein length:197     Interleukin-12 Alpha Chain
>PDB:1F5F_A mol:protein length:205     Sex Hormone-Binding Globulin
>PDB:1F5M_A mol:protein length:180     Gaf
>PDB:1F5O_A mol:protein length:149     Hemoglobin V
>PDB:1F5Q_B mol:protein length:252     Gamma Herpesvirus Cyclin
>PDB:1F5R_I mol:protein length:65     Pancreatic Trypsin Inhibitor
>PDB:1F53_A mol:protein length:84     Yeast Killer Toxin-Like Protein
>PDB:1F5X_A mol:protein length:208     Rho-Gef Vav
>PDB:1F5Z_A mol:protein length:293     N-Acetylneuraminate Lyase
>PDB:1F5S_A mol:protein length:211     Phosphoserine Phosphatase (Psp)
>PDB:1F60_A mol:protein length:458     Elongation Factor Eef1A
>PDB:1F60_B mol:protein length:94     Elongation Factor Eef1Ba
>PDB:1F62_A mol:protein length:51     Transcription Factor Wstf
>PDB:1F6B_A mol:protein length:198     Sar1
>PDB:1F6G_A mol:protein length:160     Voltage-Gated Potassium Channel
>PDB:1F6U_A mol:protein-het length:56     Hiv-1 Nucleocapsid Protein
>PDB:1F6V_A mol:protein length:91     DNA Transposition Protein
>PDB:1F6Y_A mol:protein length:262     5-Methyltetrahydrofolate Corrinoid/Iron Sulf
>PDB:1F75_A mol:protein length:249     Undecaprenyl Pyrophosphate Synthetase
>PDB:1F77_A mol:protein length:217     Enterotoxin H
>PDB:1F7C_A mol:protein length:231     Rhogap Protein
>PDB:1F7D_A mol:protein length:136     Pol Polyprotein
>PDB:1F7S_A mol:protein length:139     Actin Depolymerizing Factor (Adf)
>PDB:1F7T_A mol:protein length:122     Holo-(Acyl Carrier Protein) Synthase
>PDB:1F80_D mol:protein-het length:81     Acyl Carrier Protein
>PDB:1F81_A mol:protein length:88     Creb-Binding Protein
>PDB:1F89_A mol:protein length:291     32.5 Kda Protein Ylr351C
>PDB:1F8A_B mol:protein length:167     Peptidyl-Prolyl Cis-Trans Isomerase Nima- In
>PDB:1F8P_A mol:protein-het length:37     Neuropeptide Y (Pnpy)
>PDB:1F8R_A mol:protein length:498     L-Amino Acid Oxidase
>PDB:1F8U_A mol:protein length:583     Acetylcholinesterase
>PDB:1F8V_D mol:protein length:40     Mature Capsid Protein Gamma
>PDB:1F8W_A mol:protein-het length:447     Nadh Peroxidase
>PDB:1F8X_A mol:protein length:157     Nucleoside 2-Deoxyribosyltransferase
>PDB:1F8F_A mol:protein length:371     Benzyl Alcohol Dehydrogenase
>PDB:1F94_A mol:protein length:63     Bucandin
>PDB:1F96_C mol:protein length:18     Nnos, Neuronal Nitric Oxide Synthase
>PDB:1F97_A mol:protein length:212     Junction Adhesion Molecule
>PDB:1F9Z_A mol:protein length:135     Glyoxalase I
>PDB:1F9P_A mol:protein length:85     Connective Tissue Activating Peptide-III
>PDB:1FA0_A mol:protein length:537     Poly(A)-Polymerase
>PDB:1FAA_A mol:protein length:124     Thioredoxin F
>PDB:1FAF_A mol:protein length:79     Large T Antigen
>PDB:1FAO_A mol:protein length:126     Dual Adaptor Of Phosphotyrosine and 3- Phosp
>PDB:1FAQ_  mol:protein length:52     Raf-1
>PDB:1FAZ_A mol:protein length:122     Phospholipase A2
>PDB:2FAL_  mol:protein-het length:147     Myoglobin (Ferric) Complex With Cyanide
>PDB:2FAX_  mol:protein length:138     Flavodoxin
>PDB:1FBN_A mol:protein-het length:230     Mj Fibrillarin Homologue
>PDB:1FBL_  mol:protein length:370     Fibroblast (Interstitial) Collagenase (Mmp-1
>PDB:1FBM_A mol:protein length:46     Cartilage Oligomeric Matrix Protein
>PDB:1FBR_  mol:protein length:93     Fibronectin
>PDB:1FBV_A mol:protein length:388     Signal Transduction Protein Cbl
>PDB:1FC3_A mol:protein length:120     Spo0A
>PDB:1FC4_A mol:protein-het length:401     2-Amino-3-Ketobutyrate Conenzyme A Ligas
>PDB:1FC5_A mol:protein-het length:411     Molybdopterin Biosynthesis Moea Protein
>PDB:1FC6_A mol:protein-het length:388     Photosystem II D1 Protease
>PDB:1FCB_A mol:protein length:511     Flavocytochrome b=2= (E.C. 1.1.2.3) - Chain
>PDB:1FCD_A mol:protein length:401     Flavocytochrome C Sulfide Dehydrogenase (Fcs
>PDB:1FCD_C mol:protein length:174     Flavocytochrome C Sulfide Dehydrogenase (Fcs
>PDB:1FCH_A mol:protein length:368     Peroxisomal Targeting Signal 1 Receptor
>PDB:1FCQ_A mol:protein length:350     Hyaluronoglucosaminidase
>PDB:1FCT_  mol:protein length:32     Ferredoxin Chloroplastic Transit Peptide Sequ
>PDB:2FCR_  mol:protein length:173     Flavodoxin - Chain _
>PDB:1FD3_A mol:protein length:41     Beta-Defensin 2
>PDB:1FD9_A mol:protein length:213     Macrophage Infectivity Potentiator Protein
>PDB:1FDR_  mol:protein length:248     Flavodoxin Reductase
>PDB:1FDY_A mol:protein length:297     N-Acetylneuraminate Lyase
>PDB:1FE0_A mol:protein length:68     Copper Transport Protein Atox1
>PDB:1FE6_A mol:protein length:52     Tetrabrachion
>PDB:1FE8_A mol:protein-het length:196     Von Willebrand Factor
>PDB:1FEP_A mol:protein-het length:724     Ferric Enterobactin Receptor
>PDB:1FEU_A mol:protein length:206     50S Ribosomal Protein L25
>PDB:1FEW_A mol:protein length:184     Second Mitochondria-Derived Activator Of Cas
>PDB:1FEX_A mol:protein length:59     Trf2-Interacting Telomeric Rap1 Protein
>PDB:1FFT_A mol:protein length:663     Ubiquinol Oxidase
>PDB:1FFT_B mol:protein length:315     Ubiquinol Oxidase
>PDB:1FFT_C mol:protein length:204     Ubiquinol Oxidase
>PDB:1FFX_A mol:protein length:451     Tubulin
>PDB:1FFY_A mol:protein length:917     Isoleucyl-tRNA Synthetase
>PDB:2FFH_A mol:protein length:425     Ffh
>PDB:1FFK_C mol:protein length:246     Ribosomal Protein L4
>PDB:1FFK_G mol:protein length:145     Ribosomal Protein L13
>PDB:1FFK_I mol:protein length:194     Ribosomal Protein L15E
>PDB:1FFK_R mol:protein length:66     Ribosomal Protein L24E
>PDB:1FFK_T mol:protein length:154     Ribosomal Protein L30
>PDB:1FFK_W mol:protein length:73     Ribosomal Protein L37Ae
>PDB:1FFK_Z mol:protein length:92     Ribosomal Protein L44E
>PDB:1FF4_A mol:protein length:65     Muscarinic Toxin/Acetylcholine Receptor Bindi
>PDB:1FG3_A mol:protein-het length:356     Histidinol Phosphate Aminotransferase
>PDB:1FG5_N mol:protein-het length:310     N-Acetyllactosaminide Alpha-1,3- Galacto
>PDB:1FG9_C mol:protein length:245     Interferon-Gamma Receptor Alpha Chain
>PDB:1FGG_A mol:protein length:261     Glucuronyltransferase I
>PDB:1FGJ_A mol:protein length:546     Hydroxylamine Oxidoreductase
>PDB:1FGS_  mol:protein length:428     Folylpolyglutamate Synthetase
>PDB:1FGU_A mol:protein length:252     Replication Protein A 70 Kda DNA-Binding Sub
>PDB:1FGX_A mol:protein length:288     Beta 1,4 Galactosyltransferase
>PDB:1FH1_A mol:protein length:92     Nodulation Protein F
>PDB:1FHA_  mol:protein length:183     Ferritin (H-Chain) Mutant (Lys 86 Replaced B
>PDB:1FHG_A mol:protein length:154     Telokin
>PDB:1FHO_A mol:protein length:119     Unc-89
>PDB:1FHT_  mol:protein length:116     U1 Small Nuclear Ribonucleoprotein A
>PDB:1FHV_A mol:protein length:323     O-Succinylbenzoate Synthase
>PDB:1FHW_A mol:protein length:129     Guanine Nucleotide Exchange Factor and Integ
>PDB:1FHL_A mol:protein length:334     Beta-1,4-Galactanase
>PDB:1FI2_A mol:protein length:201     Oxalate Oxidase
>PDB:1FI4_A mol:protein-het length:416     Mevalonate 5-Diphosphate Decarboxylase
>PDB:1FIO_A mol:protein length:196     Sso1 Protein
>PDB:1FIU_A mol:protein length:286     Type II Restriction Enzyme Ngomi
>PDB:1FIW_A mol:protein length:290     Beta-Acrosin Heavy Chain
>PDB:2FIV_A mol:protein length:116     Feline Immunodeficiency Virus Protease
>PDB:1FIY_  mol:protein length:883     Phosphoenolpyruvate Carboxylase
>PDB:1FIZ_L mol:protein length:23     Beta-Acrosin Light Chain
>PDB:1FJ1_E mol:protein length:257     Outer Surface Protein A
>PDB:1FJ2_A mol:protein length:232     Acyl Protein Thioesterase 1
>PDB:1FJD_A mol:protein length:104     Peptidyl Prolyl Cis/Trans Isomerase (Ppiase)
>PDB:1FJE_B mol:protein length:175     Nucleolin Rbd12
>PDB:1FJG_B mol:protein length:256     30S Ribosomal Protein S2
>PDB:1FJG_C mol:protein length:239     30S Ribosomal Protein S3
>PDB:1FJG_D mol:protein length:209     30S Ribosomal Protein S4
>PDB:1FJG_J mol:protein length:105     30S Ribosomal Protein S10
>PDB:1FJG_K mol:protein length:129     30S Ribosomal Protein S11
>PDB:1FJG_L mol:protein length:135     30S Ribosomal Protein S12
>PDB:1FJG_M mol:protein length:126     30S Ribosomal Protein S13
>PDB:1FJG_N mol:protein length:61     30S Ribosomal Protein S14
>PDB:1FJG_Q mol:protein length:105     30S Ribosomal Protein S17
>PDB:1FJG_R mol:protein length:88     30S Ribosomal Protein S18
>PDB:1FJG_S mol:protein length:93     30S Ribosomal Protein S19
>PDB:1FJG_T mol:protein length:106     30S Ribosomal Protein S20
>PDB:1FJG_V mol:protein length:26     30S Ribosomal Protein Thx
>PDB:1FJH_A mol:protein length:257     3Alpha-Hydroxysteroid Dehydrogenase/Carbonyl
>PDB:1FJL_A mol:protein length:81     Paired Protein
>PDB:1FJM_A mol:protein length:330     Protein Serine/Threonine Phosphatase-1 (Alph
>PDB:1FJN_A mol:protein length:39     Defensin Mgd-1
>PDB:1FJR_A mol:protein length:195     Methuselah Ectodomain
>PDB:1FKM_A mol:protein-het length:396     Gyp1P
>PDB:1FL9_A mol:protein length:161     Hypothetical Protein Hi0065
>PDB:1FL7_B mol:protein length:111     Follicle Stimulating Protein Beta Chain
>PDB:1FLC_A mol:protein length:432     Haemagglutinin-Esterase-Fusion Glycoprotein
>PDB:1FLC_B mol:protein length:175     Haemagglutinin-Esterase-Fusion Glycoprotein
>PDB:1FLE_I mol:protein length:57     Elafin
>PDB:1FLG_A mol:protein length:582     Quinoprotein Ethanol Dehydrogenase
>PDB:1FLK_A mol:protein length:228     Tnf Receptor Associated Factor 3
>PDB:1FLL_X mol:protein-het length:23     B-Cell Surface Antigen Cd40
>PDB:1FM0_D mol:protein length:81     Molybdopterin Convertin Factor, Subunit 1
>PDB:1FM0_E mol:protein length:150     Molybdopterin Convertin Factor, Subunit 2
>PDB:1FM5_A mol:protein length:199     Early Activation Antigen Cd69
>PDB:1FMB_  mol:protein length:104     Eiav Protease
>PDB:1FME_A mol:protein length:28     Fsd-Ey Peptide
>PDB:1FMH_A mol:protein-het length:33     General Control Protein Gcn4
>PDB:1FMT_A mol:protein length:314     Methionyl-tRNA Fmet Formyltransferase
>PDB:2FMR_  mol:protein length:65     Fmr1 Protein
>PDB:1FN8_A mol:protein length:224     Trypsin
>PDB:1FNF_  mol:protein length:368     Fibronectin
>PDB:1FNN_A mol:protein length:389     Cell Division Control Protein 6
>PDB:1FNT_A mol:protein length:252     Proteasome Component C7-Alpha
>PDB:1FNT_B mol:protein length:250     Proteasome Component Y7
>PDB:1FNT_D mol:protein length:254     Proteasome Component Pre6
>PDB:1FNT_E mol:protein length:260     Proteasome Component Pup2
>PDB:1FNT_G mol:protein length:287     Proteasome Component C1
>PDB:1FNT_J mol:protein length:205     Proteasome Component Pup3
>PDB:1FNT_L mol:protein length:212     Proteasome Component Pre2
>PDB:1FNT_c mol:protein length:231     Proteasome Activator Protein Pa26
>PDB:2FNB_A mol:protein length:95     Fibronectin
>PDB:1FNH_A mol:protein length:271     Fibronectin
>PDB:1FO0_A mol:protein length:116     Bm3.3 T Cell Receptor Alpha-Chain
>PDB:1FO9_A mol:protein length:348     Alpha-1,3-Mannosyl-Glycoprotein Beta-1,2-N-
>PDB:1FO4_A mol:protein length:1332     Xanthine Dehydrogenase
>PDB:1FO5_A mol:protein length:85     Thioredoxin
>PDB:1FO2_A mol:protein length:460     Alpha1,2-Mannosidase
>PDB:1FOC_A mol:protein length:132     Cytochrome Rc557
>PDB:1FOE_A mol:protein-het length:377     T-Lymphoma Invasion and Metastasis Induc
>PDB:1FOS_E mol:protein length:60     C-Jun Proto-Oncogene (Transcription Factor Ap
>PDB:1FOU_A mol:protein length:309     Upper Collar Protein
>PDB:2FOK_A mol:protein length:579     Foki Restriction Endonuclease
>PDB:1FO6_A mol:protein length:304     N-Carbamoyl-D-Amino-Acid Amidohydrolase
>PDB:1FP0_A mol:protein length:88     Kap-1 Corepressor
>PDB:1FP1_D mol:protein length:372     Isoliquiritigenin 2'-O-Methyltransferase
>PDB:1FP2_A mol:protein length:352     Isoflavone O-Methytransferase
>PDB:1FPN_1 mol:protein length:289     Coat Protein Vp1
>PDB:1FPO_A mol:protein length:171     Chaperone Protein Hscb
>PDB:1FPZ_A mol:protein length:212     Cyclin-Dependent Kinase Inhibitor 3
>PDB:1FP4_A mol:protein length:492     Nitrogenase Molybdenum-Iron Protein Alpha Ch
>PDB:1FP4_B mol:protein length:523     Nitrogenase Molybdenum-Iron Protein Beta Cha
>PDB:1FP3_A mol:protein length:402     N-Acyl-D-Glucosamine 2-Epimerase
>PDB:1FQI_A mol:protein-het length:147     Regulator Of G-Protein Signaling 9
>PDB:1FQJ_C mol:protein length:42     Retinal Rod Rhodopsin-Sensitive Cgmp 3',5'- C
>PDB:1FQT_A mol:protein length:112     Rieske-Type Ferredoxin Of Biphenyl Dioxygena
>PDB:1FQV_A mol:protein length:336     Skp2
>PDB:1FR3_A mol:protein length:67     Molybdate/Tungstate Binding Protein
>PDB:1FRE_  mol:protein length:42     Nuclear Factor Xnf7
>PDB:1FRT_A mol:protein length:269     Fc Receptor (Neonatal) Complexed With Fc (Ig
>PDB:1FRY_A mol:protein length:29     Myeloid Antimicrobial Peptide
>PDB:1FS0_G mol:protein length:230     ATP Synthase Gamma Subunit
>PDB:1FS9_A mol:protein length:507     Cytochrome C Nitrite Reductase
>PDB:1FSE_A mol:protein length:74     Gere
>PDB:1FSU_  mol:protein-het length:492     N-Acetylgalactosamine-4-Sulfatase
>PDB:1FSI_A mol:protein length:189     Cyclic Phosphodiesterase
>PDB:1FSG_A mol:protein length:233     Hypoxanthine-Guanine Phosphoribosyltransfera
>PDB:1FSP_  mol:protein length:124     Stage 0 Sporulation Protein F
>PDB:1FSZ_  mol:protein length:372     Ftsz
>PDB:1FSH_A mol:protein length:105     Dishevelled-1
>PDB:1FT9_A mol:protein length:222     Carbon Monoxide Oxidation System Transcripti
>PDB:1FTE_A mol:protein length:122     Acyl Carrier Protein Synthase
>PDB:1FTK_A mol:protein length:279     Glutamate Receptor Subunit 2
>PDB:1FTP_A mol:protein length:133     Fatty-Acid-Binding Protein - Chain A
>PDB:1FU5_A mol:protein length:111     Phosphatidylinositol 3-Kinase Regulatory Alp
>PDB:1FU9_A mol:protein length:36     U-Shaped Transcriptional Cofactor
>PDB:1FUI_A mol:protein length:591     L-Fucose Isomerase
>PDB:1FUL_A mol:protein length:11     Rgd Peptide Isomer-B
>PDB:1FUS_  mol:protein-het length:106     Ribonuclease F1 (E.C. 3.1.27.3) - Chain
>PDB:1FUU_A mol:protein-het length:394     Yeast Initiation Factor 4A
>PDB:1FU3_A mol:protein length:27     Delta-Conotoxin Txvia
>PDB:1FV1_C mol:protein length:20     Myelin Basic Protein
>PDB:1FV2_A mol:protein length:472     Tetanus Toxin Heavy Chain
>PDB:1FV5_A mol:protein length:36     First Zinc Finger Of U-Shaped
>PDB:1FVA_A mol:protein length:217     Peptide Methionine Sulfoxide Reductase
>PDB:1FVP_A mol:protein length:231     Flavoprotein 390
>PDB:1FVQ_A mol:protein length:72     Copper-Transporting Atpase
>PDB:1FVR_A mol:protein length:327     Tyrosine-Protein Kinase Tie-2
>PDB:1FVU_B mol:protein length:125     Botrocetin Beta Chain
>PDB:1FW2_A mol:protein length:275     Outer Membrane Phospholipase A
>PDB:1FW5_A mol:protein length:20     Nonstructural Protein Nsp1
>PDB:1FW6_A mol:protein-het length:768     DNA Mismatch Repair Protein Muts
>PDB:1FWK_A mol:protein length:296     Homoserine Kinase
>PDB:1FWO_A mol:protein length:35     Oryzain Beta Chain
>PDB:1FWP_  mol:protein length:139     Chea
>PDB:1FWQ_A mol:protein length:123     Guanine Nucleotide Exchange Factor
>PDB:1FWX_A mol:protein length:595     Nitrous Oxide Reductase
>PDB:1FX0_B mol:protein length:498     ATP Synthase Beta Chain
>PDB:1FX1_  mol:protein length:148     Flavodoxin - Chain _
>PDB:1FX2_A mol:protein length:235     Receptor-Type Adenylate Cyclase Gresag 4.1
>PDB:1FX3_A mol:protein length:169     Protein-Export Protein Secb
>PDB:1FX7_A mol:protein length:230     Iron-Dependent Repressor Ider
>PDB:1FX8_A mol:protein length:281     Glycerol Uptake Facilitator Protein
>PDB:1FXK_B mol:protein-het length:109     Prefoldin
>PDB:1FXK_C mol:protein length:133     Prefoldin
>PDB:1FXX_A mol:protein length:482     Exonuclease I
>PDB:1FXZ_A mol:protein length:476     Glycinin G1
>PDB:1FY2_A mol:protein length:229     Aspartyl Dipeptidase
>PDB:1FY7_A mol:protein length:278     Esa1 Histone Acetyltransferase
>PDB:1FYC_  mol:protein length:106     Dihydrolipoamide Acetyltransferase (E2P)
>PDB:1FYV_A mol:protein-het length:161     Toll-Like Receptor 1
>PDB:1FYZ_E mol:protein length:170     Methane Monooxygenase Component A, Gamma Cha
>PDB:1FZP_D mol:protein length:123     Staphylococcal Accessory Regulator A
>PDB:1FZR_A mol:protein length:138     Endonuclease I
>PDB:1FZT_A mol:protein length:211     Phosphoglycerate Mutase
>PDB:1FZV_A mol:protein length:132     Placenta Growth Factor
>PDB:1G01_A mol:protein length:364     Endoglucanase
>PDB:1G0U_L mol:protein length:241     Proteasome Component C5
>PDB:1G0U_M mol:protein length:266     Proteasome Component Pre4
>PDB:1G0D_A mol:protein length:695     Protein-Glutamine Gamma-Glutamyltransferase
>PDB:1G10_A mol:protein length:102     Toluene-4-Monooxygenase Catalytic Effector
>PDB:1G1A_A mol:protein length:361     Dtdp-D-Glucose 4,6-Dehydratase
>PDB:1G1C_A mol:protein length:99     Immunoglobulin-Like Domain I1 From Titin
>PDB:1G1E_B mol:protein length:89     Sin3A
>PDB:1G1I_A mol:protein-het length:43     Non-Structural Glycoprotein Nsp4
>PDB:1G1K_A mol:protein length:143     Scaffolding Protein
>PDB:1G1P_A mol:protein-het length:33     Conotoxin Evia
>PDB:1G1S_C mol:protein-het length:28     Psgl-1 Peptide
>PDB:1G12_A mol:protein length:167     Peptidyl-Lys Metalloendopeptidase
>PDB:1G24_A mol:protein length:211     Exoenzyme C3
>PDB:1G26_A mol:protein length:31     Granulin A
>PDB:1G2C_A mol:protein length:52     Fusion Protein (F)
>PDB:1G2C_B mol:protein length:43     Fusion Protein (F)
>PDB:1G2H_A mol:protein length:61     Transcriptional Regulatory Protein Tyrr Homol
>PDB:1G2O_A mol:protein length:268     Purine Nucleoside Phosphorylase
>PDB:1G2P_A mol:protein length:187     Adenine Phosphoribosyltransferase 1
>PDB:1G2R_A mol:protein length:100     Hypothetical Cytosolic Protein
>PDB:1G2S_A mol:protein length:71     Eotaxin-3
>PDB:1G25_A mol:protein length:65     Cdk-Activating Kinase Assembly Factor Mat1
>PDB:1G31_A mol:protein length:111     Gp31
>PDB:1G3G_A mol:protein length:164     Protien Kinase Spk1
>PDB:1G3J_B mol:protein length:61     Tcf3-Cbd (Catenin Binding Domain)
>PDB:1G3N_C mol:protein length:257     V-Cyclin
>PDB:2G3P_A mol:protein length:225     Infectivity Protein G3P
>PDB:1G40_A mol:protein length:244     Complement Control Protein
>PDB:1G43_A mol:protein length:160     Scaffolding Protein
>PDB:1G47_A mol:protein length:77     Pinch Protein
>PDB:1G4D_A mol:protein length:69     Repressor Protein C
>PDB:1G4U_S mol:protein length:383     Protein Tyrosine Phosphatase Sptp
>PDB:1G55_A mol:protein-het length:343     DNA Cytosine Methyltransferase Dnmt2
>PDB:1G59_A mol:protein length:468     Glutamyl-tRNA Synthetase
>PDB:1G5A_A mol:protein length:628     Amylosucrase
>PDB:1G5B_A mol:protein length:221     Serine/Threonine Protein Phosphatase
>PDB:1G5C_A mol:protein length:170     Beta-Carbonic Anhydrase
>PDB:1G5G_A mol:protein length:481     Fusion Protein
>PDB:1G5H_A mol:protein-het length:454     Mitochondrial DNA Polymerase Accessory S
>PDB:1G5Q_A mol:protein length:181     Epidermin Modifying Enzyme Epid
>PDB:1G5R_A mol:protein-het length:196     Cob(I)Alamin Adenosyltransferase
>PDB:1G5V_A mol:protein length:88     Survival Motor Neuron Protein 1
>PDB:1G61_A mol:protein length:228     Translation Initiation Factor 6
>PDB:1G62_A mol:protein length:224     Ribosome Anti-Association Factor Eif6
>PDB:1G68_A mol:protein length:271     Beta-Lactamase Pse-4
>PDB:1G69_A mol:protein length:228     Thiamin Phosphate Synthase
>PDB:1G6E_A mol:protein length:87     Antifungal Protein
>PDB:1G6H_A mol:protein length:257     High-Affinity Branched-Chain Amino Acid Tran
>PDB:1G6L_A mol:protein length:203     Hiv-1 Protease
>PDB:1G6O_A mol:protein-het length:330     Cag-Alpha
>PDB:1G6U_A mol:protein length:48     Domain Swapped Dimer
>PDB:1G6W_A mol:protein length:261     Ure2 Protein
>PDB:1G6Z_A mol:protein length:70     Clr4 Protein
>PDB:1G60_A mol:protein length:260     Adenine-Specific Methyltransferase Mboiia
>PDB:1G6I_A mol:protein length:545     Class I Alpha-1,2-Mannosidase
>PDB:1G6K_A mol:protein length:261     Glucose 1-Dehydrogenase
>PDB:1G70_B mol:protein length:22     Rsg-1.2 Peptide
>PDB:1G73_C mol:protein length:121     Inhibitors Of Apoptosis-Like Protein Ilp
>PDB:1G76_A mol:protein length:218     Pyridoxine 5`-Phosphate Oxidase
>PDB:1G7D_A mol:protein length:106     Endoplasmic Reticulum Protein Erp29
